Type,AreaR,Eccentricity,Extent,AxisRat,Solidity
2,1.1467,0.85546,0.58842,1.931,0.87203
2,1.1395,0.8862,0.60105,2.1584,0.87758
2,1.1097,0.85749,0.6495,1.9436,0.90112
2,1.155,0.88119,0.55403,2.1152,0.86583
2,1.1639,0.87682,0.5964,2.0798,0.85921
2,1.1543,0.85818,0.54008,1.948,0.8663
2,1.1202,0.86888,0.62444,2.0201,0.8927
2,1.1681,0.84257,0.57711,1.8567,0.85606
2,1.1301,0.8363,0.58439,1.8239,0.88486
2,1.1358,0.8805,0.58727,2.1095,0.88042
2,1.177,0.89417,0.56621,2.2335,0.84964
2,1.1454,0.92897,0.60624,2.7016,0.87302
2,1.1083,0.87488,0.65693,2.0647,0.90228
2,1.1475,0.93098,0.58121,2.7392,0.87143
2,1.115,0.80257,0.62467,1.6763,0.89689
2,1.1544,0.88989,0.57484,2.1921,0.86624
2,1.3463,0.78505,0.47398,1.6144,0.74277
2,1.3535,0.83855,0.4836,1.8354,0.73885
2,1.3632,0.8947,0.53103,2.2388,0.73355
2,1.3602,0.8146,0.50939,1.7241,0.73521
2,1.3614,0.80259,0.49296,1.6763,0.73456
2,1.329,0.7515,0.47473,1.5158,0.75245
2,1.3386,0.78742,0.49129,1.6223,0.74706
2,1.4126,0.86929,0.47108,2.0231,0.70792
2,1.3164,0.84586,0.52183,1.8747,0.75963
2,1.3819,0.87729,0.48136,2.0835,0.72365
2,1.2954,0.74372,0.51376,1.4959,0.77198
2,1.3219,0.84592,0.50831,1.8751,0.75649
2,1.2822,0.7318,0.53829,1.4673,0.77988
3,1.0709,0.71377,0.62034,1.4278,0.93382
3,1.0786,0.739,0.64061,1.4843,0.92713
3,1.0601,0.81783,0.63281,1.7377,0.94334
3,1.0554,0.53301,0.68413,1.1819,0.94751
3,1.0666,0.83182,0.61756,1.8016,0.9376
3,1.0982,0.83286,0.61163,1.8067,0.91062
3,1.0731,0.695,0.61538,1.3908,0.93187
3,1.047,0.80326,0.65043,1.6789,0.95509
